Name of Company,TAN No,Invoice Amount,TDS Amt,Source
3 BROTHERS AND FILS,MUMB17047C,"57,600.00","5,760.00",26AS
A C SURGIPHARMA P LTD,DELA04612G,"33,487.00",670,26AS
AADVENT,MUMA48342A,"20,991.00","2,099.00",26AS
AARTI JEWELLERS PRIVATE LIMITED,MUMA06530G,"37,485.00","3,750.00",26AS
ANUVI CHEMICALS LIMITED,PNEA07414B,"92,000.00","9,200.00",26AS
ARCELORMITTAL BUILDING SOLUTIONS INDIA PRIVATE LIMITED,PNEA45840E,"48,141.00","4,814.10",26AS
ASTRAL TRAVELS PRIVATE LIMITED,RTKA12194A,"49,500.00","4,950.00",26AS
ATREYA INNOVATIONS PRIVATE LIMITED,PNEA21199D,"39,278.00","3,928.00",26AS
BHOOMIKA PAWAN KEDIA,PNEB23907C,"9,996.00","1,000.00",26AS
CACTUS CORPORATE COWORKING,CHEC13414C,"48,731.00",975,26AS
CONSTRUE MARKET RESEARCH PRIVATE LIMITED,MUMC23796D,"25,920.00","2,592.00",26AS
DIKSHU C KUKREJA,DELD11052G,"37,484.00","3,748.00",26AS
ENTOD PHARMACEUTICALS LTD,MUME03063E,"44,201.00","4,421.00",26AS
ENTOD PHARMACEUTICALS LTD,MUME03063E,"42,188.00","4,219.00",26AS
ESCORT BEARING (INDIA) PRIVATE LIMITED,MUME07482G,"99,960.00","9,996.00",26AS
GNH INDIA PHARMACEUTICALS LIMITED,MUMG20699A,"55,228.00","5,523.00",26AS
GUVI SURGE LLP,DELG18759G,"75,460.00","7,546.00",26AS
HIMANGINI SINGH,DELH16121A,"24,750.00","2,475.00",26AS
HIRJI LOGIPACK PRIVATE LIMITED,MUMH14443C,"34,986.00",700,26AS
INVENTIA TECHNOLOGY CONSULTANTS PRIVATE LIMITED,AGRI10513G,"48,750.00",975,26AS
ITVEDANT EDUCATION PRIVATE LIMITED,PNEI09543C,"31,523.00","3,152.00",26AS
JJG AERO PRIVATE LIMITED,BLRA29391F,"83,966.00","1,679.00",26AS
KAVITHA MENON,MUMK34331D,"76,969.00","1,539.00",26AS
KOLLECTCARE PRIVATE LIMITED,PNEK21419G,"33,320.00","3,332.00",26AS
KUMAR LAKHMICHAND KUNDAL,PNEK09689B,"20,231.00","2,023.00",26AS
LONGIVITATE TECHNOLOGIES PRIVATE LIMITED,BLRL10011B,"27,510.00",550.2,26AS
LONGIVITATE TECHNOLOGIES PRIVATE LIMITED,BLRL10011B,"33,510.00",670.2,26AS
LONGIVITATE TECHNOLOGIES PRIVATE LIMITED,BLRL10011B,"35,955.00",719.1,26AS
MADSHADES TECHNOLOGIES PRIVATE LIMITED,MUMM63336A,"54,145.00","5,415.00",26AS
MADSHADES TECHNOLOGIES PRIVATE LIMITED,MUMM63336A,"58,310.00","5,831.00",26AS
MADSHADES TECHNOLOGIES PRIVATE LIMITED,MUMM63336A,"49,980.00","4,998.00",26AS
MAGNUM CLOTHING PVT LTD,CHEM09976B,"28,384.00","2,839.00",26AS
MAHALAXMI COLLECTIONS,MUMM14787D,"29,988.00","2,999.00",26AS
MAHALAXMI COLLECTIONS,MUMM14787D,"77,469.00","7,747.00",26AS
MAHATTA MULTIMEDIA PRIVATE LIMITED,DELM12720B,"36,985.00",740,26AS
MANDS CONSULTING PRIVATE LIMITED,DELS71077G,"49,980.00","4,998.00",26AS
MARVEL BUILDING TECHNOLOGIES PRIVATE LIMITED,PNEM44354C,510,51,26AS
MARVEL BUILDING TECHNOLOGIES PRIVATE LIMITED,PNEM44354C,"34,476.00","3,448.00",26AS
MARVEL BUILDING TECHNOLOGIES PRIVATE LIMITED,PNEM44354C,"32,592.00","3,259.00",26AS
MUFG INTIME INDIA PRIVATE LIMITED,MUMI03444A,"8,000.00",160,26AS
NEMAT SPRAY PERFUMES,MUMN14639C,"69,473.00","6,948.00",26AS
OMPRAKASH PACKAGING PRIVATE LIMITED,MUMO06797A,"24,990.00","2,499.00",26AS
ONWARD CHEMICALS PVT LTD,MUMO01924G,"52,279.00","1,046.00",26AS
PEACEFUL GLOBAL LOGISTICS PRIVATE LIMITED,MUMP52031A,"35,186.00",704,26AS
PRAXIS HOME RETAIL LIMITED,MUMP38268G,"36,236.00","3,623.60",26AS
PRIMA DENTAL INDIA PRIVATE LIMITED,DELP21609A,"66,640.00","6,664.00",26AS
RAND POLYPRODUCTS PRIVATE LIMITED,PNER00164D,"22,791.00","2,279.00",26AS
REDBRICK OFFICES LIMITED,MUMR34215G,"48,780.00","4,878.00",26AS
SHREE ASHAPURA PROJECTS LLP,MUMS24133L,"47,980.00","4,798.00",26AS
SIROYA BUILDERS & DEVELOPERS,MUMS40409F,"64,970.00","6,497.00",26AS
STEIN SEAL COMPANY (INDIA) PRIVATE LIMITED,BLRS28229F,"30,188.00","3,019.00",26AS
STEIN SEAL COMPANY (INDIA) PRIVATE LIMITED,BLRS28229F,"28,189.00","2,819.00",26AS
STULZ CHSPL (INDIA) PRIVATE LIMITED,MUMC07443C,"56,577.00","5,658.00",26AS
STULZ CHSPL (INDIA) PRIVATE LIMITED,MUMC07443C,"39,184.00","3,919.00",26AS
UNISOURCE PAPERS PRIVATE LIMITED,MUMU05777C,"34,986.00","3,499.00",26AS
UPSURGE LABS LLP,BLRU07814C,"49,980.00","4,998.00",26AS
URBANETEK HVAC ENG PRIVATE LIMITED,MUMU08277D,"38,485.00","3,849.00",26AS
V K INDUSTRIAL CORPORATION LIMITED,MUMV11839C,"39,150.00","3,915.00",26AS
VALLEY ELECTROVISION PRIVATE LIMITED,DELV18599A,"89,964.00","8,996.40",26AS
